date,employeeId,username,email,building,shift,area,productFamily,testStage,serversAssigned,serversCompleted,racksAssigned,racksCompleted,expectedCheckActions,validCheckActions,inspectionsExpected,inspectionsCompleted,unitsRepaired,unitsPassedFirstRerun,unitsEventuallyPassed,successfulReruns,totalReruns,escalatedUnits,totalFailedUnitsWorked,totalAttemptsToPass,passedRepairUnitCount,mttrMinutesTotal,mttrSampleCount,postTestEscapes,unitsPassed,repeatFailures,repairedUnitsForRepeatCheck,inspectionIssuesCaught,totalIssuesFound,incorrectRepairActions,totalRepairActions,technicianAttributedDefects,unitsHandled,scheduledShifts,shiftsAttendedOnTime,daysWorked,daysWithSuccessfulEsd,esdFirstPassDays,totalEsdDays,infractionPoints,plannedCrossTrainingModules,completedCrossTrainingModules,knowledgeSharingEvents,ciParticipationEvents,leadershipSupportEvents,excludedSystemDelayMinutes,excludedPartWaitMinutes,excludedInfraMinutes,complexityMultiplier,sourceBatchId,notes
2026-01-01,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,40,32,7,6,98,88,9,8,13,9,12,14,18,2,15,22.8,12,373.1,13,1,30,2,12,5,6,0,13,1,46,1,1,1,1,1,1,0,8,0,0,0,0,14,8.6,3.8,1.3,,
2026-01-02,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,38,34,7,6,85,77,8,7,13,9,12,12,17,3,16,21.6,12,347.1,13,2,33,3,12,5,5,1,13,1,42,1,1,1,1,0,1,0,8,0,0,0,0,10.7,17.5,12,1.1,,
2026-01-03,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,39,35,6,5,91,82,12,11,12,10,10,11,14,2,14,20,10,337.2,12,2,35,0,10,3,3,1,15,2,43,1,0,1,1,0,1,0.5,8,2,0,0,0,18.3,17.4,11.8,1.1,,
2026-01-06,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,31,28,6,5,84,76,11,10,10,7,8,10,14,3,13,12,8,249,10,2,25,0,8,5,7,2,13,0,38,1,1,1,1,1,1,0,8,2,2,0,0,21.8,11.2,3,1.2,,Led safety standup meeting
2026-01-07,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,37,33,6,5,88,88,8,7,10,7,9,9,13,2,12,16.2,9,279,10,2,33,1,9,3,3,1,10,0,43,1,1,1,1,1,1,0,8,2,1,1,0,22.6,7.5,2.1,1.2,,Mentored junior technician on rack assembly
2026-01-08,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,31,28,5,5,98,88,10,9,11,9,10,10,12,1,12,18,10,336.6,11,0,27,3,10,4,4,1,12,1,38,1,1,1,1,1,1,0,8,2,2,0,0,18.6,10.6,7.2,1.3,,Led safety standup meeting
2026-01-09,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,30,27,7,6,81,73,9,8,11,8,9,11,15,2,13,15.3,9,270.6,11,0,26,0,9,5,7,0,12,1,37,1,1,1,1,1,1,0,8,2,0,0,0,11.3,9.6,4.6,1.3,,
2026-01-10,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,33,30,6,5,96,96,12,11,11,8,9,9,13,2,13,14.4,9,346.5,11,2,27,0,9,5,6,1,13,0,38,1,1,1,1,0,1,0,8,3,0,0,0,18.4,7.5,8.9,1.3,,
2026-01-13,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,30,27,7,6,89,80,8,7,12,8,11,11,16,1,13,22,11,364.8,12,1,26,2,11,2,3,0,13,2,33,1,1,1,1,0,1,0,8,3,0,0,0,21.8,12.6,4.3,1.1,,
2026-01-14,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,32,26,5,4,84,76,12,11,14,10,11,11,15,3,17,20.9,11,364,14,0,24,2,11,5,5,2,15,2,39,1,1,1,1,1,1,0,8,3,2,1,1,10.9,17.8,6.6,1.1,,Assisted with cross-shift handoff documentation
